nom_centre;adresse;code_postal;ville;telephone;email;site_web;latitude;longitude
Agen - Syllabe;"145, avenue Henri Barbusse";47000;Agen;0553878467;accueil2@syllabe47.fr;;44.206473;0.635091
Aix-En-Provence - IS Aix-en-Provence;30 avenue des Ecoles Militaires;13100;Aix-En-Provence;0442934790;info@is-aix.com;http://www.is-aix.com;43.526874;5.46275
Aix-En-Provence - Université d'Aix-Marseille - SUL;"SUL- Service Universitaire des Langues, 29 avenue Robert Schuman, Bât. Porte T3, bureau 2.14";13621;Aix-En-Provence;0413553220;sul-certifications@univ-amu.fr;https://www.univ-amu.fr/fr/public/sul-service-universitaire-des-langues;43.541369;5.406124
Ajaccio Cedex 1 - GRETA-CFA de Corse-du-Sud;Avenue Napoléon III;20184;Ajaccio Cedex 1;0495296878;greta2a@ac-corse.fr;https://2a.gretacfa.corsica/;41.93368;8.715325
Ambérieu-En-Bugey - GO-ON Formation;72 Avenue Roger Salengro;01500;Ambérieu-En-Bugey;06 95 37 21 06;contact@go-on-formation.fr;https://go-on-formation.fr/;45.95475;5.343611
Amiens - ISPA;5 RUE DES FRANCS MURIERS;80000;Amiens;03 22 91 08 66;certifications@amiens-ispa.fr;http://www.amiens-ispa.fr;49.896802;2.299677
Angers - CeLFE - Direction de l'International - Université d'Angers;La Passerelle 2 rue Lakanal;49045;Angers;02 44 68 86 53;celfe@univ-angers.fr;https://www.univ-angers.fr/fr/international/apprendre-le-francais-au-celfe.html;47.467471;-0.561615
Anglet - LE CLUB DES LANGUES;12 RUE DE L'INDUSTRIE;64600;Anglet;0559086774;leclubdeslangues@gmail.com;http://leclubdeslangues.com/;43.495847;-1.496689
Annecy - CILFA (Centre international de langue française d'Annecy);3 RUE DES MARTYRS;74940;Annecy;04 50 09 15 44;dir@cilfa.fr;http://www.cilfa.fr;45.922018;6.134678
Annecy - Alliance française d'Annecy;12 BOULEVARD DU LYCEE;74000;Annecy;04 50 05 43 30;contact@alliance-francaise-annecy.com;http://www.alliance-francaise-annecy.com;45.905891;6.128643
Annecy - IFALPES;14 Avenue du Rhône;74000;Annecy;04 50 45 38 37;emmanuel@ifalpes.com;http://www.ifalpes.com;45.899831;6.116769
Aurillac - GRETA AUVERGNE Agence 15;10 rue du Docteur Chibret;15000;Aurillac;04 71 45 49 50;www.greta-auvergne.agence15@ac-clermont.fr;https://greta.ac-clermont.fr/nos-greta/greta-auvergne-agence-15/;44.935854;2.452415
Auxerre - GRETA 89;46 boulevard Lyautey;89000;Auxerre;0386721049;ce.greta.auxerre@ac-dijon.fr;https://www.bourgogne-greta.fr/;47.791283;3.552196
Avermes - Institut de Formation Interprofessionnel de l'Allier - IFI03/Ecole de la 2ème Chance;11 route de Paris;03000;Avermes;0470205471;csaulce.e2c@ifi03.com;http://www.ifi03.fr;46.57953;3.322904
"Avignon - Fédération des centres sociaux 84, PAAFV";"Immeuble l'Aquilon-4ème étage 1, rue Antoine Le Moiturier";84000;Avignon;0490870581;accueil.plateforme@vaucluse-centres-sociaux.fr;https://vaucluse-centres-sociaux.fr/plateforme-dacces-au-francais/;43.930165;4.820088
Avignon - Université d'Avignon - Direction des Relations Internationales - Service des Langues;74 Rue Louis Pasteur;84029;Avignon;04 90 16 29 89;sdl@univ-avignon.fr;https://univ-avignon.fr/international/cours-de-francais-fle-/delf-dalf/;43.936345;4.848861
Bastia - GRETA-CFA de Haute-Corse - Lycée Paul Vincensini;Avenue de la 4ème DMM;20600;Bastia;0495545330;greta2b@ac-corse.fr;http://www.gretacfa.corsica;42.66986;9.441412
Beaune - GRETA 21 - Site de Beaune;Lycée Marey – 7 avenue Maréchal de Lattre de Tassigny;21200;Beaune;03 80 24 83 24;agencecom.greta21@ac-dijon.fr;;47.030553;4.851083
Bergerac - AF2P Ligue de l'Enseignement 24;"8, Place Louis de la Bardonnie";24100;Bergerac;0553631493;af2p@laligue24.org;https://laligue24.org/service-formation/af2p;44.855934;0.482393
Besançon - Centre de Linguistique Appliquée (CLA) - Université Marie et Louis Pasteur;6 rue Gabriel Plançon;25000;Besançon;0381665200;certif-fle-cla@univ-fcomte.fr;http://cla.univ-fcomte.fr/;47.234477;6.015209
Besancon - GIP FTLV de Franche-Comté;11 bis rue Nicolas Bruand;25000;Besancon;0381481230;delfdalf@gipftlv-fcomte.fr;https://gipftlv-fcomte.fr/;47.249406;6.022809
Bezons - Centre Zénith;50 rue de Pontoise;95870;Bezons;0778645316;formation@centrezenith.com;http://www.godelf.com;48.925054;2.217504
Biarritz - Les ateliers - ESLF;6 avenue Jaulerry;64200;Biarritz;05 24 67 11 00;biarritz@les-ateliers.fr;https://sejour.fl-france.fr/examens/delf/;43.480636;-1.559915
Bobigny - OXMOZ FORMATION;34 RUE DE MOSCOU;93000;Bobigny;09 82 28 58 04;contact@oxmoz-formation.com;http://www.oxmoz-formation.fr;48.908809;2.469291
Bobigny Cedex - Chambre de Métiers et de l'Artisanat Ile de France Seine-St-Denis (CMA 93);91-129 rue Edouard Renard;93013;Bobigny Cedex;0141833363;caroline.khadir@cma-idf.fr;https://www.cma93.fr/;48.907365;2.443342
Bonneville Cedex - GRETA Savoie Haute-Savoie;210 QUAI DU PARQUET;74130;Bonneville Cedex;04 50 25 15 15;accueil.bonneville@greta73-74.fr;https://greta-savoiehautesavoie.fr/;46.078506;6.405074
Bordeaux - Alliance française Bordeaux Nouvelle-Aquitaine (AFBNA);"126, rue Abbé de l'Epée";33000;Bordeaux;0556793280;af@alliance-bordeaux.org;http://www.alliance-bordeaux.org;44.845334;-0.583874
