nom_centre;adresse;code_postal;ville;site_web_inscription;latitude;longitude
LEO LAGRANGE FORMATION - AMBÉRIEUX EN BUGEY;"14 Rue Marius Berliet , 01500 , AMBÉRIEUX EN BUGEY";01500;Ambérieux-en-Bugey;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1088/23;45.968871;5.342275
FRATE FORMATION CONSEIL - BOURG-EN-BRESSE;"9 rue Colonel Arnaud Beltrame, 01000, BOURG-EN-BRESSE";01000;Bourg-en-Bresse;https://francais.cci-paris-idf.fr/inscription-candidat/contact/436;46.21266;5.23931
FRATE FORMATION - MONTLUEL;"630 rue des Valets, 01120, MONTLUEL";01120;Montluel;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1097;45.845744;5.057744
AEFTI SAVOIRS ET COMPÉTENCES;"73 Grande rue, 02400, CHATEAU-THIERRY";02400;Chateau-Thierry;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1012/23;49.045819;3.399278
CFP02;16 rue Roger Salengro;02000;Laon;https://cfp02.info/;50.62946;3.099471
GRETA Aisne;17 Rue Henri Hertz;02100;Saint-Quentin;https://monavenirpro-hdf.fr/notre-reseau/greta-aisne/;47.419809;0.687777
ZD ACADEMY;"5 bis rue de la Gare, 02200, Soissons";02200;Soissons;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1072;49.367706;3.335228
IFI 03 - ECOLE DE LA DEUXIÈME CHANCE DE L'ALLIER;11 route de Paris;03000;Avermes;http://www.e2c-allier.fr;50.098524;1.84138
CCI ALLIER;"31, quai Louis Blanc";03100;Montluçon;http://www.cci-formation-allier.com;46.345497;2.599845
FRATE FORMATION CONSEIL - VICHY;"2-4 rue de Paris, Passage des Commerces, 03206, VICHY";03206;Vichy;https://francais.cci-paris-idf.fr/inscription-candidat/contact/449;46.125678;3.423723
CAVILAM - ALLIANCE FRANÇAISE;"Service des examens 1, avenue des Célestins";03200;Vichy;http://www.cavilam.com;46.11992;3.425392
PROVENCE LINGUA;"13bis Place de l’Hôtel de Ville, 04100, MANOSQUE";04100;Manosque;https://francais.cci-paris-idf.fr/inscription-candidat/contact/662;43.833475;5.782563
CIBC ALPES PROVENCE;264 Rue Berthelot;04100;Manosque;http://www.cpe-cfa.fr;43.823457;5.79657
KANGOUROU PROVENCE GAP;"Micropolis Quartier Belle Aureille, 05000, GAP";05000;Gap;https://francais.cci-paris-idf.fr/inscription-candidat/contact/603;44.53506;6.052878
CPE CFA;"Immeuble le Neptune, 3e étage 140 Boulevard Georges Pompidou";05000;Gap;http://www.cpe-cfa.fr;44.555704;6.077904
LANGUAZUR;"22 boulevard de la République, 06400, CANNES";06400;Cannes;https://francais.cci-paris-idf.fr/inscription-candidat/contact/928;43.554661;7.025072
ASSOCIATION REFLETS;"4, place Sainte Luce Le Lafayette";06800;Cagnes-sur-Mer;http://www.reflets.asso.fr;44.406416;0.705915
INTERNATIONAL HOUSE CENTRE DE LANGUE RIVIERA;"27 rue Rossini, 06000, NICE";06000;Nice;https://francais.cci-paris-idf.fr/inscription-candidat/contact/584/23;43.700237;7.262427
KANGOUROU PROVENCE;"7 rue de Dijon, 06000, Nice";06000;Nice;https://francais.cci-paris-idf.fr/inscription-candidat/contact/865/23;43.706949;7.262772
ALLIANCE FRANÇAISE CÔTE D'AZUR;"2, rue de Paris";06000;Nice;http://www.af-nice.fr;49.889347;2.289973
LES ATELIERS FL-ESLF;3 rue Alfred Mortier;06000;Nice;https://sejour.fl-france.fr/nice/;43.700298;7.276523
LIGUE DE L'ENSEIGNEMENT FOLAM;6 rue Oscar 2;06000;Nice;https://folam.weebly.com/;43.703931;7.255447
EQUIVALENCE LANGUE ET COMMUNICATION;Place Sophie Laffitte;06560;Valbonne;https://www.groupeset.com/;43.615512;7.054762
EFFICIA - AUBENAS;"2 Rue Marc Seguin, 07200, AUBENAS";07200;Aubenas;https://francais.cci-paris-idf.fr/inscription-candidat/contact/994;44.60825;4.390293
INFREP ARDÈCHE;"25, rue des Griottes";07200;Aubenas;http://www.infrep.org;47.493552;3.945887
NOUVELLE DONNE;Hôtel et Pépinière d'entreprises 698 rue de Vidalon;07430;Davézieux;https://www.nouvelle-donne-formation.org/;45.257726;4.686333
FRATE FORMATION CONSEIL - CHARLEVILLE-MÉZIÈRES;"8 rue Jean Baptiste Lefort, 08000, CHARLEVILLE-MÉZIÈRES";08000;Charleville-Mézières;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1063;49.741349;4.72938
LA RONDE DES DÉCOUVERTES 08;"19, avenue de Montcy Notre-Dame";08000;Charleville-Mézières;http://www.rdd08.fr;49.774085;4.738383
API FORMATION;"10, rue Jean-Baptiste Lefort Z.A. du Val de Vence";08000;Charleville-Mézières;https://api-vt.com/apiformation/;49.740929;4.729592
LEO LAGRANGE FORMATION;"4, Cours Irénée CROS, 09000, Foix";09000;Foix;https://francais.cci-paris-idf.fr/inscription-candidat/contact/848/23;42.966752;1.609072
LEO LAGRANGE FORMATION;"41 Rue Jean Jaurès, 09300, LAVELANET";09300;Lavelanet;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1028;42.9312;1.846024
LEO LAGRANGE FORMATION;"48 Av. de la Rijol, 09100, PAMIERS";09100;Pamiers;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1029;43.128236;1.621819
LEO LAGRANGE FORMATION;"Maison de la Citoyenneté - 16 rue de la République, 09200, SAINT GIRONS";09200;Saint Girons;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1030;42.985165;1.144874
FRATE FORMATION CONSEIL - TROYES;"28 rue Coulommières, 10000, TROYES";10000;Troyes;https://francais.cci-paris-idf.fr/inscription-candidat/contact/447;48.299175;4.063242
Y SCHOOLS - GROUPE ADPS;"217, avenue Pierre Brossolette";10000;Troyes;http://www.pfep.yschools.fr;48.283727;4.078757
LEO LAGRANGE FORMATION;"170, Rue Jean Melliès, 11000, CARCASSONNE";11000;Carcassonne;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1034/23;43.206029;2.315962
LEO LAGRANGE FORMATION;"Hôtel du Canal - 88 Avenue Arnaut Vidal, 11400, CASTELNAUDARY";11400;Castelnaudary;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1033;43.314775;1.949912
GRETA - CFA DE L'AUDE ET DES PYRÉNÉES ORIENTALES;"Site de Carcassonne Salvaza 750, rue Antoine Durand";11000;Carcassonne;https://digital.maforpro-occitanie.fr/;43.210238;2.303169
GRETA-CFA DE L'AUDE ET DES PYRÉNÉES-ORIENTALES;"Lycée Germaine Tillon 1, avenue du campus Jean Durant";11400;Castelnaudary;https://maforpro-occitanie.fr/greta-cfa/votre-greta-cfa/greta-cfa-des-pyrenees-orientales;43.304411;1.943346
LEO LAGRANGE FORMATION;"Batiment B Espace soleil, 2 route de Gruissan, 11100, NARBONNE";11100;Narbonne;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1035;43.161524;3.047209
"ASSOCIATION ""CHEZ MOTS PASSANTS""";"Maison des Services 1, avenue de la Naïade";11100;Narbonne;http://www.chezmotspassants.fr;43.185409;2.979154
LEO LAGRANGE FORMATION;"Pépinière et Hotel d'entreprises Parc régional d'activité économique Charles Cros RD 118, 11300, PIEUSSE";11300;Pieusse;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1036;48.403469;6.825691
EFFICIA - MILLAU;"32 avenue de la République, 12100, MILLAU";12100;Millau;https://francais.cci-paris-idf.fr/inscription-candidat/contact/995;44.103057;3.076782
GRETA MIDI-PYRÉNÉES NORD;38 boulevard de l'Ayrolle;12100;Millau;https://maforpro-occitanie.fr/;44.096325;3.076504
CAMPUS XIIe AVENUE;"5 rue de Bruxelles, 12000, RODEZ";12000;Rodez;https://francais.cci-paris-idf.fr/inscription-candidat/contact/260;44.359002;2.557955
GRETA MIDI-PYRÉNÉES NORD;5 avenue du Maréchal Joffre;12000;Rodez;http://www.maforpro.ac-toulouse.fr;48.955172;2.241941
ELFE - ÉVRY COURCOURONNES;"155 Rue Paul Langevin, 13290, AIX-EN-PROVENCE";13290;Aix-en-Provence;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1070;43.479928;5.372757
