nationalite;naturalisations_2016_2026;rang_national;part_femmes_pct;part_hommes_pct;fiche_pays_url
Maroc;61906;1;46;54;https://france-naturalisation.net/guide/nationalite/maroc
Algérie;55795;2;47;53;https://france-naturalisation.net/guide/nationalite/algerie
Tunisie;27898;3;45;55;https://france-naturalisation.net/guide/nationalite/tunisie
Cameroun;15067;4;59;41;https://france-naturalisation.net/guide/nationalite/cameroun
Sénégal;13344;5;45;55;https://france-naturalisation.net/guide/nationalite/senegal
Côte d'Ivoire;13154;6;54;46;https://france-naturalisation.net/guide/nationalite/cote-ivoire
Royaume-Uni;10241;7;55;45;https://france-naturalisation.net/guide/nationalite/royaume-uni
Roumanie;9755;8;61;39;https://france-naturalisation.net/guide/nationalite/roumanie
Mali;7847;9;40;60;https://france-naturalisation.net/guide/nationalite/mali
Guinée;7024;10;37;63;https://france-naturalisation.net/guide/nationalite/guinee
Liban;6728;11;47;53;https://france-naturalisation.net/guide/nationalite/liban
Russie;6360;12;66;34;https://france-naturalisation.net/guide/nationalite/russie
Haïti;6318;13;60;40;https://france-naturalisation.net/guide/nationalite/haiti
République démocratique du Congo;6183;14;56;44;https://france-naturalisation.net/guide/nationalite/rd-congo
Turquie;6052;17;49;51;https://france-naturalisation.net/guide/nationalite/turquie
Portugal;3604;22;53;47;https://france-naturalisation.net/guide/nationalite/portugal
Chine;1958;44;56;44;https://france-naturalisation.net/guide/nationalite/chine
